country_name,year,v2x_regime,e_regiongeo,e_gdppc,e_wb_pop,v2exnamhos,v2exparhos,v2exrescon_osp,v2exbribe_osp,v2exembez_osp,v2lgcrrpt_osp,v2lpname,v2ellostsl,v2slpname,v2ellostss,v2tlpname,v2ellostts,v2jupurge_osp,v2jupoatck_osp,v2juaccnt_osp,v2jucorrdc_osp,v2juhcind_osp,v2juhccomp_osp
Mexico,1789,,17,1.352,,Juan Vicente de Guemes-Pacheco de Padilla y Horcasitas,,1.353,2.397,0.262,,,,,,,,,,1.93,1.596,2.96,0.721
Mexico,1790,,17,1.357,,Juan Vicente de Guemes-Pacheco de Padilla y Horcasitas,,1.353,2.397,0.262,,,,,,,,,,1.93,1.596,2.96,0.721
Mexico,1791,,17,1.371,,Juan Vicente de Guemes-Pacheco de Padilla y Horcasitas,,1.353,2.397,0.262,,,,,,,,,,1.93,1.596,2.96,0.721
Mexico,1792,,17,1.389,,Juan Vicente de Guemes-Pacheco de Padilla y Horcasitas,,1.353,2.397,0.262,,,,,,,,,,1.93,1.596,2.96,0.721
Mexico,1793,,17,1.401,,Juan Vicente de Guemes-Pacheco de Padilla y Horcasitas,,1.353,2.397,0.262,,,,,,,,,,1.93,1.596,2.96,0.721
Mexico,1794,,17,1.409,,Miguel de la Grua Talamanca y Branciforte,,1.353,2.397,0.262,,,,,,,,,,1.93,1.596,2.96,0.721
Mexico,1795,,17,1.413,,Miguel de la Grua Talamanca y Branciforte,,1.353,2.397,0.262,,,,,,,,,,1.93,1.596,2.96,0.721
Mexico,1796,,17,1.403,,Miguel de la Grua Talamanca y Branciforte,,1.353,2.397,0.262,,,,,,,,,,1.93,1.596,2.96,0.721
Mexico,1797,,17,1.392,,Miguel de la Grua Talamanca y Branciforte,,1.353,2.397,0.262,,,,,,,,,,1.93,1.596,2.96,0.721
Mexico,1798,,17,1.378,,Miguel Jose de Azanza,,1.353,2.397,0.262,,,,,,,,,,1.93,1.596,2.96,0.721
Mexico,1799,,17,1.363,,Miguel Jose de Azanza,,1.353,2.397,0.262,,,,,,,,,,1.93,1.596,2.96,0.721
Mexico,1800,,17,1.348,,Felix Berenguer de Marquina,,1.353,2.397,0.262,,,,,,,,,,1.93,1.596,2.96,0.721
Mexico,1801,,17,1.336,,Felix Berenguer de Marquina,,1.353,2.397,0.262,,,,,,,,,,1.93,1.596,2.96,0.721
Mexico,1802,,17,1.316,,Felix Berenguer de Marquina,,1.353,2.397,0.262,,,,,,,,,,1.93,1.596,2.96,0.721
Mexico,1803,,17,1.304,,Jose de Iturrigaray y Arestegui,,1.353,2.397,0.262,,,,,,,,,,1.93,1.596,2.96,0.721
Mexico,1804,,17,1.282,,Jose de Iturrigaray y Arestegui,,1.353,2.397,0.262,,,,,,,,,,1.93,1.596,2.96,0.721
Mexico,1805,,17,1.26,,Jose de Iturrigaray y Arestegui,,1.353,2.397,0.262,,,,,,,,,,1.93,1.596,2.96,0.721
Mexico,1806,,17,1.237,,Jose de Iturrigaray y Arestegui,,1.353,2.397,0.262,,,,,,,,,,1.93,1.596,2.96,0.721
Mexico,1807,,17,1.211,,Jose de Iturrigaray y Arestegui,,1.353,2.397,0.262,,,,,,,,,,1.93,1.596,2.96,0.721
Mexico,1808,,17,1.182,,Pedro de Garibay,,1.353,2.397,0.262,,,,,,,,,,1.93,1.596,2.96,0.721
Mexico,1809,,17,1.152,,Francisco Javier de Lizana y Beaumont,,1.353,2.397,0.262,,,,,,,,,,1.93,1.596,2.96,0.721
Mexico,1810,,17,1.128,,Francisco Javier Venegas de Saavedra,,1.353,2.397,0.262,,,,,,,,,,1.93,1.596,2.96,0.721
Mexico,1811,,17,1.106,,Francisco Javier Venegas de Saavedra,,1.353,2.397,0.262,,,,,,,,,,1.93,1.596,2.96,0.721
Mexico,1812,,17,1.107,,Francisco Javier Venegas de Saavedra,,2.29,2.397,0.262,,,,,,,,,,1.93,1.596,2.96,0.721
Mexico,1813,,17,1.101,,Felix Maria Calleja del Rey,,2.29,2.397,0.262,,,,,,,,,,1.93,1.596,2.96,0.721
Mexico,1814,,17,1.088,,Felix Maria Calleja del Rey,,2.29,2.397,0.262,,,,,,,,,,1.93,1.596,2.96,0.721
Mexico,1815,,17,1.079,,Felix Maria Calleja del Rey,,2.29,2.397,0.262,,,,,,,,,,1.93,1.596,2.96,0.721
